,,,,,,,,,
,38,弟弟,dì di,younger brother,2594,561912,"0,006604%",2,1
,39,电话,diàn huà,phone,254,4470310,"0,052539%", ,1
,40,电脑,diànnǎo,Computer,529,2576740,"0,030284%",1,1
,41,电视,diànshì,television,499,2728539,"0,032068%",1,1
,42,电视机,diàn shì jī,television,5547,225411,"0,002649%", ,1
,43,电影,diànyǐng,Film,341,3689714,"0,043365%",1,1
,44,电影院,diàn yǐng yuàn,cinema; movie theater,6660,180523,"0,002122%", ,1
,45,东边,dōng biān,east side,18293,45724,"0,000537%", ,1
,46,东西,dōngxi,thing,155,5827002,"0,068484%",1,1
,47,动作,dòngzuò,action,1119,1372066,"0,016126%",4,1
,48,读书,dú shū,reading; study,2050,735952,"0,008650%", ,1
,49,对不起,duìbuqǐ,I’m sorry.,1897,800251,"0,009405%",1,1
,50,多少,duōshao,how much,377,3379566,"0,039720%",1,1
,51,儿子,érzi,Son,578,2389621,"0,028085%",1,1
,52,饭店,fàndiàn,restaurant,3150,455311,"0,005351%",1,1
,53,房间,fángjiān,Room,1420,1060503,"0,012464%",2,1
,54,房子,fáng zi,house; building,1007,1528535,"0,017965%", ,1
,55,放假,fàng jià,holiday; have a holiday,2974,485777,"0,005709%", ,1
,56,放学,fàng xué,off school,7412,157817,"0,001855%", ,1
,57,飞机,fēijī,aircraft,908,1674767,"0,019683%",1,1
,58,非常,fēicháng,very,86,8056541,"0,094688%",2,1
,59,干净,gānjìng,clean,2315,640945,"0,007533%",3,1
,60,干什么,gàn shén me,What to do,3059,469779,"0,005521%", ,1
,61,高兴,gāoxìng,happy,988,1554692,"0,018272%",1,1
,62,告诉,gàosu,tell,211,5024560,"0,059053%",2,1
,63,哥哥,gē ge,elder brother,1570,957711,"0,011256%",2,1
,64,工人,gōngrén,Worker,827,1826455,"0,021466%",5,1
,65,工作,gōngzuò,work,10,19699227,"0,231523%",1,1
,66,关上,guān shàng,close;shut to; turn off,8688,128079,"0,001505%", ,1
,67,国家,guójiā,Country,26,13546984,"0,159216%",3,1
,68,国外,guó wài,foreign; oversea; abroad,965,1590294,"0,018691%", ,1
,69,还是,háishi,still,24,14614773,"0,171766%",3,1
,70,还有,hái yǒu,also; in addition; besides,62,9517905,"0,111863%", ,1
,71,孩子,háizi,Children,132,6681697,"0,078529%",2,1
,72,汉语,hànyǔ,Chinese,3691,376386,"0,004424%",1,1
,73,汉字,hàn zì,Chinese character,7348,159378,"0,001873%", ,1
,74,好吃,hǎochī,Yummy,1855,819558,"0,009632%",2,1
,75,好看,hǎo kàn,good looking,1092,1414439,"0,016624%", ,1
,76,好听,hǎo tīng,pleasant to hear,2714,535740,"0,006297%", ,1
,77,好玩儿,hǎo wánr,fun; interesting,29362,21352,"0,000251%", ,1
,78,后边,hòu biān,behind; back,14149,66326,"0,000780%", ,1
,79,后天,hòu tiān,day after tomorrow,4762,275774,"0,003241%", ,1
,80,回答,huídá,Answer,879,1736380,"0,020408%",3,1
,81,回到,huí dào,back to,743,1982239,"0,023297%", ,1
,82,回家,huí jiā,go home; return home,401,3177831,"0,037349%", ,1
,83,回来,huí lái,come back; return,423,3024352,"0,035545%", ,1
,84,回去,huí qù,go back,1178,1302474,"0,015308%", ,1
,85,火车,huǒ chē,train,2532,575333,"0,006762%", ,1
,86,机场,jīchǎng,Airport,1899,798585,"0,009386%",2,1
,87,机票,jī piào,air ticket,4432,301528,"0,003544%", ,1
,88,鸡蛋,jīdàn,Egg,2592,562123,"0,006607%",2,1
,89,记得,jìdé,remember,664,2163744,"0,025430%",3,1
,90,记住,jì zhù,remember; keep in mind,2385,618831,"0,007273%", ,1
,91,家里,jiā lǐ,In the home,744,1982174,"0,023296%", ,1
,92,家人,jiā rén,family,1298,1165923,"0,013703%", ,1
,93,见面,jiànmiàn,meet,1814,835712,"0,009822%",3,1
,94,教学楼,jiào xué lóu,teaching building,—,—,—, ,1
,95,姐姐,jiě jie,elder sister,1192,1279753,"0,015041%",2,1
,96,介绍,jièshào,introduce,206,5100620,"0,059947%",2,1
,97,今年,jīn nián,this year,59,9714475,"0,114173%", ,1
,98,今天,jīntiān,Today,31,12378709,"0,145486%",1,1
,99,进来,jìn lái,come in,2114,706626,"0,008305%", ,1
,100,进去,jìn qù,go in,1762,855683,"0,010057%", ,1
,101,觉得,juéde,Think,90,7959167,"0,093543%",2,1
,102,开车,kāi chē,drive; drive a car,2549,571486,"0,006717%", ,1
,103,开会,kāi huì,have a meeting,3527,397712,"0,004674%", ,1
,104,开玩笑,kāiwánxiào,Make fun of,4635,284760,"0,003347%",4,1
,105,看病,kàn bìng,see a doctor,4528,292655,"0,003440%", ,1
,106,看到,kàn dào,see,58,9724548,"0,114292%", ,1
,107,看见,kànjiàn,seeing,877,1739832,"0,020448%",1,1
,108,考试,kǎoshì,Examination,635,2225151,"0,026152%",2,1
,109,课本,kè běn,textbook,8444,133273,"0,001566%", ,1
,110,课文,kè wén,text,10780,96843,"0,001138%", ,1
,111,来到,lái dào,come; arrive,547,2508241,"0,029479%", ,1
,112,老人,lǎo rén,old people; the aged,854,1776058,"0,020874%", ,1
,113,老师,lǎoshī,Teacher,433,2997668,"0,035231%",1,1
,114,里边,lǐ biān,inside,9096,120693,"0,001418%", ,1
,115,楼上,lóu shàng,upstairs,5850,210810,"0,002478%", ,1
,116,楼下,lóu xià,downstairs,3817,361371,"0,004247%", ,1
,117,路口,lù kǒu,intersection; crossing,3384,419278,"0,004928%", ,1
,118,路上,lù shàng,on the road,1334,1137274,"0,013366%", ,1
,119,妈妈,mā ma,mom; mother,498,2733513,"0,032127%",1,1
,120,马路,mǎ lù,road; street,3532,396997,"0,004666%", ,1
,121,马上,mǎshàng,Right off,826,1827711,"0,021481%",3,1
,122,没关系,méiguānxi,No problem,4566,289385,"0,003401%",1,1
,123,没什么,méi shén me,It’s nothing,1890,801999,"0,009426%", ,1
,124,没事儿,méi shìr,It’s okay,16719,52250,"0,000614%", ,1
,125,没有,méi yǒu,have not; no,3,30405623,"0,357354%",1,1
,126,妹妹,mèi mei,younger sister,2096,714797,"0,008401%",2,1
,127,门口,mén kǒu,doorway,—,—,—, ,1
,128,门票,mén piào,tickets,3447,409857,"0,004817%", ,1
,129,米饭,mǐfàn,Steamed Rice,8597,129974,"0,001528%",1,1
,130,面包,miànbāo,Bread,4339,308255,"0,003623%",3,1
,131,面条儿,miàn tiáor,noodles,—,—,—, ,1
,132,名字,míngzi,Name,861,1765890,"0,020754%",1,1
,133,明白,míngbai,clear,695,2082348,"0,024474%",3,1
,134,明年,míng nián,next year,979,1578089,"0,018547%", ,1
,135,明天,míngtiān,Tomorrow,310,3889610,"0,045714%",1,1
,136,哪里,nǎ lǐ,where,727,2017051,"0,023706%", ,1
,137,哪儿,nǎr,where,3272,435352,"0,005117%",1,1
,138,哪些,nǎ xiē,which,2288,648251,"0,007619%", ,1
,139,那边,nà biān,there,2899,498433,"0,005858%", ,1
,140,那里,nà lǐ,there,785,1905367,"0,022394%", ,1
,141,那儿,nàr,there,4592,287368,"0,003377%", ,1
,142,那些,nà xiē,those,246,4520517,"0,053129%", ,1
,143,奶奶,nǎinai,grandma,2772,524047,"0,006159%",3,1
,144,男孩儿,nán háir,boy,—,—,—, ,1
,145,男朋友,nán péng yǒu,boyfriend,3555,394072,"0,004631%", ,1
,146,男人,nán ren,man,270,4342420,"0,051036%", ,1
,147,男生,nán shēng,boy,2091,715457,"0,008409%", ,1
,148,南边,nán biān,south; south side,22581,33064,"0,000389%", ,1
,149,你们,nǐ men,you,76,8527633,"0,100224%", ,1
,150,牛奶,niúnǎi,milk,2162,686739,"0,008071%",2,1
,151,女儿,nǚ’ér,daughter,824,1835470,"0,021572%",1,1
,152,女孩儿,nǚ háir,girl,14758,62598,"0,000736%", ,1
,153,女朋友,nǚ péng yǒu,girlfriend,3333,426753,"0,005016%", ,1
,154,女人,nǚ ren,woman,258,4439772,"0,052180%", ,1
,155,女生,nǚ shēng,girl,1366,1108751,"0,013031%", ,1
,156,旁边,pángbiān,Side,1436,1051256,"0,012355%",2,1
,157,朋友,péngyou,Friend,185,5331707,"0,062663%",1,1
,158,起床,qǐchuáng,Get up,1550,971659,"0,011420%",2,1
,159,起来,qǐlái,get up,85,8059704,"0,094725%",3,1
,160,汽车,qì chē,car,300,4011306,"0,047145%", ,1
,161,前边,qián biān,in front,20563,38248,"0,000450%", ,1
,162,前天,qián tiān,the day before yesterday,3909,350028,"0,004114%", ,1
,163,钱包,qián bāo,wallet,4515,293732,"0,003452%", ,1
,164,请假,qǐngjià,ask for leave,8432,133598,"0,001570%",3,1
,165,请进,qǐng jìn,please come in,17358,49421,"0,000581%", ,1
,166,请问,qǐng wèn,excuse me,3388,418626,"0,004920%", ,1
,167,请坐,qǐng zuò,please have a seat,31710,18773,"0,000221%", ,1
,168,去年,qùnián,Last year,187,5301941,"0,062313%",2,1
,169,认识,rènshi,know,360,3502311,"0,041162%",1,1
,170,认真,rènzhēn,earnest,610,2307914,"0,027125%",3,1
,171,日期,rìqī,Date,2585,564131,"0,006630%",5,1
,172,商场,shāng chǎng,mall; shopping mall,2496,584380,"0,006868%", ,1
,173,商店,shāngdiàn,Shop,3346,425332,"0,004999%",1,1
,174,上班,shàngbān,go to work,1044,1465310,"0,017222%",2,1
,175,上边,shàng biān,above; on,15136,60188,"0,000707%", ,1
,176,上车,shàng chē,get on,4556,290308,"0,003412%", ,1
,177,上次,shàng cì,last time,2670,544569,"0,006400%", ,1
,178,上课,shàng kè,attend class; have a class,2120,703933,"0,008273%", ,1
,179,上网,shàngwǎng,Surf the Internet,1706,880170,"0,010345%",3,1
,180,上午,shàngwǔ,morning,461,2861780,"0,033634%",1,1
,181,上学,shàng xué,go to school,2569,567120,"0,006665%", ,1
,182,身上,shēn shàng,body; on one’s body,—,—,—, ,1
,183,身体,shēntǐ,body,427,3014124,"0,035425%",2,1
,184,什么,shénme,What,17,17796936,"0,209166%",1,1
,185,生病,shēngbìng,Fall ill,4297,311706,"0,003663%",2,1
,186,生气,shēngqì,get angry,2214,672852,"0,007908%",3,1
,187,生日,shēngrì,Birthday,1377,1097618,"0,012900%",2,1
,188,时候,shíhou,time,29,12888353,"0,151476%",1,1
,189,时间,shíjiān,time,23,14785440,"0,173772%",2,1
,190,是不是,shì bú shì,isn’t it?,482,2788095,"0,032768%", ,1
,191,手机,shǒujī,Mobile phone,—,—,—,2,1
,192,书包,shū bāo,school bag,9056,121209,"0,001425%", ,1
,193,书店,shū diàn,bookstore,5789,213352,"0,002508%", ,1
,194,水果,shuǐguǒ,Fruits,1918,792023,"0,009309%",1,1
,195,睡觉,shuìjiào,sleep,646,2202995,"0,025892%",1,1
,196,说话,shuōhuà,talk,841,1801458,"0,021172%",2,1
,197,他们,tā men,they,7,23760910,"0,279260%", ,1
,198,她们,tā men,they,769,1938149,"0,022779%", ,1
,199,天气,tiānqì,weather,813,1855577,"0,021808%",1,1
,200,听到,tīng dào,hear,746,1975553,"0,023218%", ,1
,201,听见,tīng jiàn,hear,3493,401801,"0,004722%", ,1
,202,听写,tīng xiě,dictation; dictate,41287,11658,"0,000137%", ,1
,203,同学,tóngxué,Classmate,756,1955697,"0,022985%",1,1
,204,图书馆,túshūguǎn,Library,3210,445096,"0,005231%",3,1
,205,外边,wài biān,outside,13054,74404,"0,000874%", ,1
,206,外国,wài guó,foreign country,1679,892710,"0,010492%", ,1
,207,外语,wài yǔ,foreign language,4942,263261,"0,003094%", ,1
,208,玩儿,wánr,play,7881,146312,"0,001720%", ,1
,209,晚饭,wǎn fàn,dinner,4129,327530,"0,003849%", ,1
,210,晚上,wǎnshang,Night,342,3682819,"0,043284%",2,1
,211,网上,wǎng shàng,online,—,—,—, ,1
,212,网友,wǎng yǒu,net friend,—,—,—, ,1
,213,忘记,wàngjì,forget,1124,1365648,"0,016050%",3,1
,214,我们,wǒmen,We,1,41787606,"0,491126%",1,1
,215,午饭,wǔ fàn,lunch,5928,207337,"0,002437%", ,1
,216,西边,xī biān,west; west side,16717,52260,"0,000614%", ,1
,217,洗手间,xǐshǒujiān,Restroom,13513,70594,"0,000830%",3,1
,218,喜欢,xǐhuan,like,61,9589721,"0,112707%",1,1
,219,下班,xià bān,get off work,2375,620525,"0,007293%", ,1
,220,下边,xià biān,below; under,17195,50090,"0,000589%", ,1
,221,下车,xià chē,get off,3907,350138,"0,004115%", ,1
,222,下次,xià cì,next time,2113,706760,"0,008306%", ,1
,223,下课,xià kè,finish class,6585,183572,"0,002158%", ,1
,224,下午,xiàwǔ,Afternoon,278,4251438,"0,049967%",1,1
,225,下雨,xiàyǔ,rain,3251,438477,"0,005153%",1,1
,226,先生,xiānsheng,Sir,627,2248041,"0,026421%",1,1
,227,现在,xiànzài,Now,18,16365880,"0,192347%",1,1
,228,小孩儿,xiǎo háir,child; kid,21273,36298,"0,000427%", ,1
,229,小姐,xiǎojiě,Miss,1753,858944,"0,010095%",1,1
,230,小朋友,xiǎo péng yǒu,child; kid,3231,441938,"0,005194%", ,1
,231,小时,xiǎoshí,hour,234,4629165,"0,054406%",2,1
,232,小学,xiǎo xué,primary school; elementary schoo,1504,1000714,"0,011761%", ,1
,233,小学生,xiǎo xué shēng,elementary school student,5299,240070,"0,002822%", ,1
,234,谢谢,xièxie,Thank you,543,2528380,"0,029716%",1,1
,235,新年,xīn nián,New Year,1248,1220074,"0,014339%", ,1
,236,星期,xīngqī,week,1997,755765,"0,008882%",1,1
,237,星期日,xīng qī rì,Sunday,10405,101243,"0,001190%", ,1
,238,星期天,xīng qī tiān,Sunday,8279,136670,"0,001606%", ,1
,239,休息,xiūxi,Rest,1035,1474359,"0,017328%",2,1
,240,学生,xuésheng,Student,121,6886521,"0,080937%",1,1
,241,学习,xuéxí,Study,168,5570557,"0,065470%",1,1
,242,学校,xuéxiào,School,200,5160143,"0,060647%",1,1
,243,学院,xué yuàn,college; academy,1306,1157174,"0,013600%", ,1
,244,爷爷,yéye,grandpa,3010,477467,"0,005612%",3,1
,245,衣服,yīfu,clothes,1612,932764,"0,010963%",1,1
,246,医生,yīshēng,Doctor,865,1758616,"0,020669%",1,1
,247,医院,yīyuàn,Hospital,322,3813656,"0,044822%",1,1
,248,一半,yí bàn,half,1243,1227406,"0,014426%", ,1
,249,一会儿,yíhuìr,A little while,2264,653674,"0,007683%",3,1
,250,一块儿,yí kuàir,together,13985,67388,"0,000792%", ,1
,251,一下儿,yí xiàr,a little bit,—,—,—, ,1
,252,一样,yíyàng,equally,145,6001838,"0,070539%",3,1
,253,一边,yìbiān,One side,825,1832625,"0,021539%",3,1
,254,一点儿,yīdiǎnr,a little bit,8628,129371,"0,001520%",1,1
,255,一起,yìqǐ,together,77,8424127,"0,099008%",2,1
,256,一些,yì xiē,some,34,11583138,"0,136136%", ,1
,257,有的,yǒu de,some,400,3183017,"0,037410%", ,1
,258,有名,yǒumíng,Famous,5602,222893,"0,002620%",3,1
,259,有时候,yǒu shí hòu,sometimes,1425,1057040,"0,012423%", ,1
,260,有些,yǒuxiē,some,189,5287025,"0,062138%", ,1
,261,有用,yǒu yòng,useful,3994,340533,"0,004002%", ,1
,262,右边,yòubian,Right,2015,750384,"0,008819%",2,1
,263,再见,zàijiàn,Bye,3138,457344,"0,005375%",1,1
,264,在家,zài jiā,at home,1440,1048507,"0,012323%", ,1
,265,早饭,zǎo fàn,breakfast,6952,171028,"0,002010%", ,1
,266,早上,zǎoshang,Morning,938,1636879,"0,019238%",2,1
,267,怎么,zěnme,How,72,8708842,"0,102354%",1,1
,268,找到,zhǎo dào,find,—,—,—, ,1
,269,这边,zhè biān,here,3306,429528,"0,005048%", ,1
,270,这里,zhè lǐ,here,157,5812931,"0,068319%", ,1
,271,这儿,zhèr,here,3314,428939,"0,005041%", ,1
,272,这些,zhè xiē,these,36,11378382,"0,133729%", ,1
,273,真的,zhēn de,really,—,—,—, ,1
,274,正在,zhèngzài,in process of,156,5824702,"0,068457%",2,1
,275,知道,zhīdào,know,64,9354835,"0,109946%",2,1
,276,知识,zhīshi,knowledge,514,2646202,"0,031101%",4,1
,277,中国,zhōngguó,China,4,27811293,"0,326864%",1,1
,278,中间,zhōngjiān,Middle,1309,1156458,"0,013592%",3,1
,279,中文,zhōngwén,Chinese,2259,654899,"0,007697%",3,1
,280,中午,zhōngwǔ,Noon,1138,1346954,"0,015831%",1,1
,281,中学,zhōng xué,middle school,2106,710971,"0,008356%", ,1
,282,中学生,zhōng xué shēng,middle School student,5894,208792,"0,002454%", ,1
,283,重要,zhòngyào,important,55,9812054,"0,115320%",3,1
,284,准备,zhǔnbèi,Get ready,236,4607197,"0,054148%",2,1
,285,桌子,zhuōzi,Table,3902,350339,"0,004118%",1,1
,286,走路,zǒu lù,walk,4257,314848,"0,003700%", ,1
,287,最好,zuìhǎo,Best,448,2918438,"0,034300%",4,1
,288,最后,zuìhòu,Last,115,7078430,"0,083192%",3,1
,289,昨天,zuótiān,Yesterday,196,5187383,"0,060967%",1,1
,290,左边,zuǒbian,left,4839,270387,"0,003178%",2,1
,291,坐下,zuò xià,sit down,4289,312208,"0,003669%", ,1
,Band 2,,,,,,,,
,292,爱情,àiqíng,Love,480,2793127,"0,032827%",4,2
,293,爱人,ài rén,lover,3185,448817,"0,005275%", ,2
,294,安静,ānjìng,Be quiet,2642,552677,"0,006496%",3,2
,295,安全,ānquán,security,167,5588869,"0,065685%",4,2
,296,白色,bái sè,white,1682,892287,"0,010487%", ,2
,297,班长,bān zhǎng,monitor; squad leader,6470,187472,"0,002203%", ,2
,298,办法,bànfǎ,Way,354,3578828,"0,042062%",3,2
,299,办公室,bàngōngshì,Office,1086,1420524,"0,016695%",3,2
,300,半夜,bàn yè,midnight,3076,467644,"0,005496%", ,2
,301,帮助,bāngzhù,Help,345,3665880,"0,043085%",2,2
,302,报名,bàomíng,sign up,1277,1197485,"0,014074%",4,2
,303,报纸,bàozhǐ,Newspaper,1839,829233,"0,009746%",2,2
,304,北方,běifāng,north,2879,501878,"0,005899%",3,2
,305,比如,bǐrú,such as,661,2170874,"0,025514%",4,2
,306,比如说,bǐ rú shuō,for example,—,—,—, ,2
,307,笔记,bǐ jì,note; notes,7371,158704,"0,001865%", ,2
,308,笔记本,bǐjìběn,Notebook,1991,757706,"0,008905%",3,2
,309,必须,bìxū,Must,113,7163797,"0,084195%",3,2
,310,变成,biàn chéng,become; change into,682,2136378,"0,025109%", ,2
,311,表示,biǎoshì,Express,42,10779896,"0,126695%",4,2
,312,不错,bú cuò,not bad; pretty good,284,4169385,"0,049002%", ,2
,313,不但,bú dàn,not only,1240,1228586,"0,014439%",3,2
,314,不够,bú gòu,not enough,929,1653027,"0,019428%", ,2
,315,不过,búguò,However,100,7607718,"0,089413%",4,2
,316,不太,bú tài,not too; not very much,—,—,—, ,2
,317,不要,bú yào,don’t,97,7793782,"0,091600%", ,2
,318,不好意思,bù hǎo yì sī,sorry; feel embarrassed,3369,421657,"0,004956%", ,2
,319,不久,bù jiǔ,soon,1783,846704,"0,009951%", ,2
,320,不满,bù mǎn,dissatisfied,2335,631860,"0,007426%", ,2
,321,不如,bùrú,not as good as,1069,1442962,"0,016959%",5,2
,322,不少,bù shǎo,not a few; a lot,358,3515814,"0,041321%", ,2
,323,不同,bù tóng,different,118,6966512,"0,081877%", ,2
,324,不行,bù xíng,no way; be out of the question,1430,1055319,"0,012403%", ,2
,325,不一定,bù yī dìng,not necessarily; uncertain,2386,618754,"0,007272%", ,2
,326,不一会儿,bù yī huìr,in a moment; in a little while; soon,—,—,—, ,2
,327,部分,bùfen,Part,191,5271870,"0,061960%",4,2
,328,菜单,càidān,menu,7124,166235,"0,001954%",3,2
,329,参观,cānguān,visit,2235,665531,"0,007822%",4,2
,330,参加,cānjiā,participate in,127,6771133,"0,079580%",3,2
,331,草地,cǎo dì,grass; lawn,7374,158650,"0,001865%", ,2
,332,差不多,chàbuduō,Almost,2012,752078,"0,008839%",4,2
,333,常见,cháng jiàn,common,2655,548923,"0,006451%", ,2
,334,常用,cháng yòng,in common use,3970,343046,"0,004032%", ,2
,335,超过,chāoguò,Exceed,336,3739835,"0,043954%",4,2
,336,超市,chāoshì,Supermarket,—,—,—,3,2
,337,车辆,chē liàng,car; vehicle,1061,1448656,"0,017026%", ,2
,338,成绩,chéngjì,achievement,551,2497433,"0,029352%",3,2
,339,成为,chéngwéi,Become,57,9782775,"0,114976%",4,2
,340,重复,chóngfù,repeat,2073,724631,"0,008517%",5,2
,341,重新,chóngxīn,again,672,2150465,"0,025274%",4,2
,342,出发,chūfā,Set out,1427,1056089,"0,012412%",4,2
,343,出国,chū guó,go abroad,4135,326843,"0,003841%", ,2
,344,出口,chū kǒu,export,582,2383789,"0,028016%",5,2
,345,出门,chū mén,go out,1715,876420,"0,010300%", ,2
,346,出生,chūshēng,Birth,1708,879444,"0,010336%",4,2
,347,出现,chūxiàn,Appear,66,9270103,"0,108951%",4,2
,348,出院,chū yuàn,discharged; leave hospital,5557,224776,"0,002642%", ,2
,349,出租,chū zū,rent,3550,394695,"0,004639%", ,2
,350,出租车,chūzūchē,Taxi,2355,627350,"0,007373%",1,2
,351,春节,chūn jié,Spring Festival; Chinese New Year,1163,1320080,"0,015515%", ,2
,352,春天,chūn tiān,spring,3002,479609,"0,005637%", ,2
,353,词典,cídiǎn,Dictionary,13181,73315,"0,000862%",3,2
,354,词语,cíyǔ,terms,8453,133195,"0,001565%",4,2
,355,从小,cóng xiǎo,from childhood,2756,527487,"0,006200%", ,2
,356,答应,dāying,promise,2146,693593,"0,008152%",5,2
,357,打工,dǎgōng,Work,2814,516460,"0,006070%",5,2
,358,打算,dǎsuàn,Plan,1447,1040941,"0,012234%",3,2
,359,打印,dǎyìn,Print,5954,206221,"0,002424%",4,2
,360,大部分,dà bù fèn,most,1121,1371342,"0,016117%", ,2
,361,大大,dà dà,greatly; enormously,1201,1272017,"0,014950%", ,2
,362,大多数,dà duō shù,most; great majority,1457,1032990,"0,012141%", ,2
,363,大海,dà hǎi,sea,4911,265597,"0,003122%", ,2
,364,大家,dàjiā,everybody,38,11129890,"0,130809%",2,2
,365,大量,dà liàng,a lot of; lots of,477,2798806,"0,032894%", ,2
,366,大门,dà mén,door; gate,2452,592498,"0,006964%", ,2
,367,大人,dà rén,adult,2392,613566,"0,007211%", ,2
,368,大声,dà shēng,loud,2429,600231,"0,007054%", ,2
,369,大小,dà xiǎo,size,1495,1007703,"0,011843%", ,2
,370,大衣,dà yī,overcoat,4349,307800,"0,003618%", ,2
,371,大自然,dà zì rán,nature,5885,209386,"0,002461%", ,2
,372,带来,dài lái,bring,352,3580695,"0,042084%", ,2
,373,单位,dānwèi,Company,207,5081637,"0,059724%",5,2
,374,但是,dàn shì,but; however,39,11099202,"0,130448%",2,2
,375,当时,dāngshí,at that time,271,4319095,"0,050762%",4,2
,376,到处,dàochù,everywhere,2246,660638,"0,007764%",4,2
,377,道理,dàolǐ,truth,2054,734477,"0,008632%",5,2
,378,道路,dào lù,road; way; path,788,1900283,"0,022334%", ,2
,379,得出,dé chū,obtain results; reach conclusion,2705,538750,"0,006332%", ,2
,380,的话,de huà,if,—,—,—, ,2
,381,等到,děng dào,wait until; by the time,1944,776688,"0,009128%", ,2
,382,等于,děngyú,Be equal to,2426,601824,"0,007073%",5,2
,383,地球,dìqiú,earth,1720,874149,"0,010274%",4,2
,384,地铁,dìtiě,metro,1709,878737,"0,010328%",3,2
,385,地铁站,dì tiě zhàn,subway station,—,—,—, ,2
,386,点头,diǎn tóu,nod,2279,650766,"0,007648%", ,2
,387,东北,dōng běi,northeast,2143,694073,"0,008157%", ,2
,388,东方,dōng fāng,east,1662,901265,"0,010592%", ,2
,389,东南,dōng nán,southeast,5329,238311,"0,002801%", ,2
,390,冬天,dōng tiān,winter,1337,1134221,"0,013330%", ,2
,391,懂得,dǒng de,know; understand; comprehend,1538,977588,"0,011489%", ,2
,392,动物,dòngwù,Animal,1089,1416652,"0,016650%",3,2
,393,动物园,dòng wù yuán,zoo,9742,110663,"0,001301%", ,2
,394,读音,dú yīn,pronunciation,19282,42110,"0,000495%", ,2
,395,短信,duǎnxìn,message,—,—,—,4,2
,396,队长,duì zhǎng,team leader; captain,3241,439840,"0,005169%", ,2
,397,对话,duìhuà,dialogue,2178,682501,"0,008021%",4,2
,398,对面,duìmiàn,Opposite side,3063,469583,"0,005519%",4,2
,399,多久,duō jiǔ,how long,2588,563949,"0,006628%", ,2
,400,多么,duōme,what,1836,830636,"0,009762%",3,2
,401,多数,duō shù,most; majority,1947,775998,"0,009120%", ,2
,402,多云,duō yún,cloudy,3376,420385,"0,004941%", ,2
,403,而且,ér qiě,and,112,7200892,"0,084631%",3,2
,404,发现,fāxiàn,find,52,10125489,"0,119004%",3,2
,405,饭馆,fàn guǎn,restaurant,14396,64686,"0,000760%", ,2
,406,方便,fāngbiàn,convenient,969,1586325,"0,018644%",3,2
,407,方便面,fāng biàn miàn,Instant noodles,8350,135080,"0,001588%", ,2
,408,方法,fāngfǎ,Method,190,5272124,"0,061963%",4,2
,409,方面,fāngmiàn,Aspect,71,8766166,"0,103028%",4,2
